,0,1,2,3,4,5,6,7,8,9
0,lr,b_sz,# lyrs,dropout,bias,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.001,1,6,1.0,True,1.58,1.08,-0.02,nan,nan
2,0.001,1,1,0.8,True,1.25,0.82,0.20,0.62,0.65
3,1e-05,64,3,0.7,True,2.40,1.21,-0.55,0.22,0.19
4,0.1,64,3,1.0,True,1.56,1.09,-0.00,nan,nan
5,0.01,16,3,0.8,True,1.31,0.92,0.16,0.45,0.46
6,0.0001,1,3,0.8,True,1.29,0.95,0.17,0.46,0.49
7,0.001,1,6,0.7,True,1.30,0.92,0.16,0.45,0.42
8,0.0001,64,4,0.7,False,2.09,1.17,-0.34,0.27,0.27
9,0.0001,16,1,1.0,False,0.97,0.76,0.38,0.65,0.64
10,1e-05,64,1,0.7,True,1.83,1.05,-0.18,0.61,0.57
