,0,1,2,3,4,5,6,7,8
0,lr,b_sz,# lyrs,dropout,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.001,1,2,0.5,7455.19,52.86,-0.00,-0.02,-0.03
2,0.1,1,6,0.9,7659.97,56.63,-0.03,-0.01,0.02
3,0.1,1,6,0.7,7621.16,55.51,-0.02,-0.04,-0.02
4,0.01,1,1,0.9,7451.52,52.93,0.00,0.03,-0.01
5,0.001,16,3,0.9,7454.50,52.87,0.00,0.01,0.01
6,0.001,1,1,0.5,6618.72,55.03,0.11,0.40,0.48
7,0.001,1,3,0.7,7455.80,52.88,-0.00,-0.01,-0.00
8,0.01,64,4,0.7,7451.98,52.89,0.00,0.03,0.01
9,0.01,1,2,0.9,7455.75,52.90,-0.00,0.00,-0.01
10,0.1,4,3,0.3,7454.41,52.87,0.00,0.01,-0.00
