,0,1,2,3,4,5,6
0,lr,b_sz,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.01,16,0.10,0.19,-0.00,-0.10,-0.07
2,0.0001,64,0.10,0.20,-0.01,0.07,0.02
3,0.0001,64,0.10,0.20,-0.02,-0.06,-0.01
4,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
5,0.001,64,0.10,0.19,-0.00,-0.08,-0.04
6,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
7,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
8,0.1,16,-9.00,-9.00,-9.00,-9.00,nan
9,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
10,0.01,4,0.10,0.20,-0.02,-0.10,-0.06
11,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
12,0.0001,4,0.10,0.21,-0.08,-0.07,-0.05
13,0.01,64,0.11,0.21,-0.14,-0.10,0.00
14,0.01,64,0.09,0.20,0.00,0.09,0.01
15,1e-05,16,0.12,0.24,-0.30,-0.06,-0.07
16,0.01,1,0.10,0.21,-0.07,-0.04,-0.03
17,1e-05,4,0.13,0.25,-0.37,0.07,0.04
18,1e-05,4,0.13,0.26,-0.39,0.04,0.02
19,0.0001,16,0.10,0.22,-0.09,0.09,0.02
20,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
21,0.01,16,0.10,0.19,-0.00,-0.10,-0.07
22,0.0001,64,0.10,0.20,-0.01,0.07,0.02
23,0.0001,64,0.10,0.20,-0.02,-0.06,-0.01
24,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
25,0.001,64,0.10,0.19,-0.00,-0.08,-0.04
26,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
27,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
28,0.1,16,-9.00,-9.00,-9.00,-9.00,nan
29,0.001,4,0.10,0.19,-0.00,-0.08,-0.06
30,0.01,4,0.10,0.20,-0.02,-0.10,-0.06
31,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
32,0.0001,4,0.10,0.21,-0.08,-0.07,-0.05
33,0.01,64,0.11,0.21,-0.14,-0.10,0.00
34,0.01,64,0.09,0.20,0.00,0.09,0.01
35,1e-05,16,0.12,0.24,-0.30,-0.06,-0.07
36,0.01,1,0.10,0.21,-0.07,-0.04,-0.03
37,1e-05,4,0.13,0.25,-0.37,0.07,0.04
38,1e-05,4,0.13,0.26,-0.39,0.04,0.02
39,0.0001,16,0.10,0.22,-0.09,0.09,0.02
40,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
