,0,1,2,3,4,5,6,7,8,9
0,lr,b_sz,# lyrs,dropout,bias,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.0001,64,5,0.1,False,9910.28,75.80,-0.33,-0.00,-0.00
2,0.01,16,3,0,True,98964.84,302.64,-12.28,0.02,0.00
3,1e-05,1,6,0.1,True,28622.06,152.57,-2.84,0.04,0.02
4,0.001,16,2,0.3,True,275481.17,488.03,-35.95,-0.43,-0.49
5,0.1,16,2,0.1,True,264532.49,497.49,-34.49,0.04,0.00
6,0.1,1,2,0.3,True,428230.05,637.28,-56.45,-0.01,0.01
7,0.001,1,2,0.3,True,9808454.27,2566.90,-1314.77,-0.34,-0.39
8,0.001,1,2,0.3,True,24896046.13,3862.65,-3338.72,-0.42,-0.52
9,0.001,1,2,0.3,True,9086805.36,2543.54,-1217.96,-0.43,-0.51
10,0.001,1,2,0.3,True,6251961.55,2086.19,-837.68,-0.33,-0.42
11,0.001,1,1,0.3,True,883193.15,838.49,-117.48,-0.34,-0.41
12,1e-05,1,5,0.2,True,28455.59,152.05,-2.82,-0.04,-0.06
13,0.01,64,1,0.2,False,218534.35,447.53,-28.32,-0.04,0.01
14,0.1,16,6,0.1,True,545129.18,733.26,-72.13,-0.00,-0.00
15,0.001,16,3,0.3,True,353104.93,587.92,-46.37,-0.02,-0.02
16,0.001,16,4,0.2,False,353884.51,588.58,-46.47,-0.00,-0.00
17,0.1,4,4,0.3,True,147016.20,356.28,-18.72,0.05,0.01
18,0.01,4,6,0.3,False,311172.20,549.69,-40.74,0.00,-0.05
19,0.0001,4,3,0,True,101277.48,307.05,-12.59,-0.00,0.03
20,0.0001,16,4,0.1,False,21952.23,130.18,-1.94,0.01,-0.01
