,0,1,2,3,4,5,6
0,lr,b_sz,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.01,16,5.45,1.47,-0.23,0.50,0.59
2,1e-05,16,6.94,1.89,-0.57,0.53,0.62
3,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
4,0.0001,1,4.99,1.44,-0.13,0.54,0.62
5,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
6,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
7,0.0001,64,6.22,1.71,-0.41,0.50,0.60
8,0.0001,4,5.06,1.45,-0.15,0.53,0.61
9,1e-05,1,5.10,1.45,-0.15,0.52,0.61
10,1e-05,1,5.12,1.46,-0.16,0.51,0.61
11,0.0001,1,2.74,1.11,0.38,0.62,0.68
12,1e-05,1,3.10,1.19,0.30,0.57,0.64
13,0.01,1,3.28,1.28,0.26,0.52,0.58
14,1e-05,16,7.44,2.09,-0.68,0.51,0.61
15,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
16,1e-05,4,4.64,1.47,-0.05,0.52,0.61
17,1e-05,64,8.13,2.22,-0.84,0.50,0.61
18,0.001,4,2.74,1.12,0.38,0.62,0.67
19,0.0001,64,5.74,1.71,-0.30,0.52,0.62
20,0.1,16,-9.00,-9.00,-9.00,-9.00,nan
21,0.01,16,5.45,1.47,-0.23,0.50,0.59
22,1e-05,16,6.94,1.89,-0.57,0.53,0.62
23,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
24,0.0001,1,4.99,1.44,-0.13,0.54,0.62
25,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
26,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
27,0.0001,64,6.22,1.71,-0.41,0.50,0.60
28,0.0001,4,5.06,1.45,-0.15,0.53,0.61
29,1e-05,1,5.10,1.45,-0.15,0.52,0.61
30,1e-05,1,5.12,1.46,-0.16,0.51,0.61
31,0.0001,1,2.74,1.11,0.38,0.62,0.68
32,1e-05,1,3.10,1.19,0.30,0.57,0.64
33,0.01,1,3.28,1.28,0.26,0.52,0.58
34,1e-05,16,7.44,2.09,-0.68,0.51,0.61
35,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
36,1e-05,4,4.64,1.47,-0.05,0.52,0.61
37,1e-05,64,8.13,2.22,-0.84,0.50,0.61
38,0.001,4,2.74,1.12,0.38,0.62,0.67
39,0.0001,64,5.74,1.71,-0.30,0.52,0.62
40,0.1,16,-9.00,-9.00,-9.00,-9.00,nan
